"";"id";"to";"type";"weight"
"1";"s01";"s02";"hyperlink";22
"2";"s01";"s03";"hyperlink";22
"3";"s01";"s04";"hyperlink";21
"4";"s01";"s15";"mention";20
"5";"s02";"s01";"hyperlink";23
"6";"s02";"s03";"hyperlink";21
"7";"s02";"s09";"hyperlink";1
"8";"s02";"s10";"hyperlink";5
"9";"s03";"s01";"hyperlink";21
"10";"s03";"s04";"hyperlink";22
"11";"s03";"s05";"hyperlink";1
"12";"s03";"s08";"hyperlink";4
"13";"s03";"s10";"mention";2
"14";"s03";"s11";"hyperlink";1
"15";"s03";"s12";"hyperlink";1
"16";"s04";"s03";"hyperlink";23
"17";"s04";"s06";"mention";1
"18";"s04";"s11";"mention";22
"19";"s04";"s12";"hyperlink";3
"20";"s04";"s17";"mention";2
"21";"s05";"s01";"mention";1
"22";"s05";"s02";"hyperlink";21
"23";"s05";"s09";"hyperlink";2
"24";"s05";"s15";"mention";21
"25";"s06";"s06";"hyperlink";1
"26";"s06";"s16";"hyperlink";21
"27";"s06";"s17";"mention";21
"28";"s07";"s03";"mention";1
"29";"s07";"s08";"mention";22
"30";"s07";"s10";"hyperlink";21
"31";"s07";"s14";"mention";4
"32";"s08";"s03";"hyperlink";2
"33";"s08";"s07";"mention";21
"34";"s08";"s09";"mention";23
"35";"s09";"s10";"mention";21
"36";"s10";"s03";"hyperlink";2
"37";"s12";"s06";"mention";2
"38";"s12";"s13";"hyperlink";22
"39";"s12";"s14";"mention";22
"40";"s13";"s12";"hyperlink";21
"41";"s13";"s17";"mention";1
"42";"s14";"s11";"mention";1
"43";"s14";"s13";"mention";21
"44";"s15";"s01";"hyperlink";22
"45";"s15";"s04";"hyperlink";1
"46";"s15";"s06";"hyperlink";4
"47";"s16";"s06";"hyperlink";23
"48";"s16";"s17";"mention";21
"49";"s17";"s04";"hyperlink";4
"50";"s11";"s11";"mention";0
